A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V,apelido,apelido_abreviado,atleta_id,clube_id,clube_nome,entrou_em_campo,foto,jogos_num,media_num,minimo_para_valorizar,nome,pontos_num,posicao_id,preco_num,rodada_id,slug,status_id,temporada,variacao_num
,,,,,5.0,1.0,1.0,1.0,,,,,,,,,,,,Gustavo Henrique,G. Henrique,78248,264,COR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,9.2,,Gustavo Henrique Vernes,9.2,3,11.41,1,gustavo-henrique,6,2026,1.41
,,,,,1.0,1.0,,,1.0,,,,,,,,,,,Vitinho,Vitinho,78435,264,COR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,1.7,,Victor Vinícius Coelho dos Santos,1.7,5,5.51,1,vitinho,6,2026,-0.49
1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,Renê,Renê,78445,266,FLU,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,1,7.4,,Renê Rodrigues Martins,7.4,2,7.5,1,rene,7,2026,1.5
,,,,,,,,,,,,,,,,,,,,Willian Arão,W. Arão,78478,277,SAN,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,0.0,,Willian Souza Arão da Silva,0.0,4,7.0,1,willian-arao,5,2026,0.0
,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,Gabriel,Gabriel,78605,280,RBB,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,1,0.7,,Gabriel Girotto Franco,0.7,4,5.15,1,gabriel,7,2026,-0.85
,,,,,,,,1.0,,,,,,,,,,,,Reinaldo,Reinaldo,78850,2305,MIR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,1,0.8,,Reinaldo Manoel da Silva,0.8,2,14.19,1,reinaldo,2,2026,-2.81
,,,,,,,,,,,,,,,,,,,,Thiago Santos,T. Santos,78855,294,CFC,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,1,0.0,,Thiago dos Santos,0.0,3,2.45,1,thiago-santos,6,2026,-0.55
,,,,,,,,,,,,,,,,,,,,Dória,Dória,78946,276,SAO,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,0.0,,Matheus Dória Macedo,0.0,3,7.0,1,doria,6,2026,0.0
,,,,,,,,,,,,,,,,,,,,Alex Muralha,A. Muralha,79066,2305,MIR,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,,Alex Roberto Santana Rafael,0.0,1,3.0,1,alex-muralha,6,2026,0.0
,,,,,,,,,,,,,,,,,,,,Cano,Cano,79631,266,FLU,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,0.0,,Germán Ezequiel Cano,0.0,5,6.0,1,cano,5,2026,0.0
